model,replicate,auc,flip_rate,probability_mae,vector_cosine_distance,vector_euclidean_distance
logit,75,0.5918811660538112,0.21029572836801752,0.13733083693302492,0.4183099584368548,1.5870342537790005
xgb,75,0.6150655896085194,0.21139101861993428,0.10823410004377365,0.08942866325378418,0.03863653540611267
logit,76,0.5570641226739352,0.20700985761226726,0.14547079868159682,0.3912257036182838,1.7006116550947845
xgb,76,0.5854171028899101,0.2656078860898138,0.13301900029182434,0.1331338882446289,0.048481885343790054
logit,77,0.5730963217656113,0.21412924424972618,0.16479281449075892,0.48975508402841317,2.3787420821186958
xgb,77,0.5934460595418707,0.27491785323110624,0.13281968235969543,0.11061036586761475,0.042781196534633636
logit,78,0.5608845199217799,0.1851040525739321,0.11779419956463373,0.2499345202106078,1.2835899447088388
xgb,78,0.5865019977493942,0.22234392113910187,0.11623316258192062,0.09500205516815186,0.040339067578315735
logit,79,0.5586314651345894,0.14676889375684557,0.09290273850966689,0.26504731740876886,1.2250560509120052
xgb,79,0.5792016104443782,0.20372398685651696,0.0974140390753746,0.06062394380569458,0.03154445067048073
logit,80,0.5544633137782872,0.14074479737130338,0.09143700355154445,0.21114777720188593,1.01900817023526
xgb,80,0.5624285971427836,0.19112814895947425,0.09567482769489288,0.06695693731307983,0.03311678767204285
logit,81,0.5506294471811712,0.12322015334063527,0.08277683765276388,0.20440044214712572,1.064169584773178
xgb,81,0.5747273375137295,0.21412924424972618,0.09495995193719864,0.08048737049102783,0.036360930651426315
logit,82,0.6057631672072774,0.20646221248630886,0.12594306297980765,0.3711939293875336,1.5649574822030827
xgb,82,0.6037562341658615,0.20481927710843373,0.099832683801651,0.06537938117980957,0.03263384476304054
logit,83,0.593706875123214,0.1248630887185104,0.07926242405407741,0.0920084654877853,0.6458710718989848
xgb,83,0.6186019060353705,0.22070098576122674,0.10159973055124283,0.07435673475265503,0.03485772758722305
logit,84,0.5967631929214897,0.15553121577217963,0.08710736258684,0.27443161866026666,1.3793871305858014
xgb,84,0.630366770380656,0.1823658269441402,0.09520348161458969,0.06270718574523926,0.032096751034259796
logit,85,0.5959697258007834,0.19715224534501644,0.12067984916931758,0.4341130604515695,1.7477590384607486
xgb,85,0.6282165724424461,0.1927710843373494,0.09757881611585617,0.07634329795837402,0.035349998623132706
logit,86,0.5591530962972758,0.16593647316538881,0.09439553996958151,0.26703042007061406,1.1455716583317326
xgb,86,0.5954370742614205,0.18565169769989048,0.09220145642757416,0.07866227626800537,0.036012645810842514
logit,87,0.5496425112254781,0.20153340635268346,0.13398430851941884,0.42724094878779517,1.6265980969143359
xgb,87,0.6117031502358973,0.20810514786418402,0.10759624093770981,0.1151321530342102,0.04450651630759239
logit,88,0.5280266546177216,0.19441401971522454,0.1428127894213466,0.40319491314010947,2.465210913467663
xgb,88,0.5943191182719071,0.2475355969331873,0.11773370951414108,0.08151310682296753,0.03698799014091492
logit,89,0.5766461075417335,0.11336254107338445,0.06605320520577233,0.10126744363366158,0.6519756775269936
xgb,89,0.6151953851560424,0.16976998904709747,0.08585746586322784,0.0627318024635315,0.032341472804546356
logit,90,0.5988729828118858,0.2157721796276013,0.15149532041290642,0.29646901546430826,1.656352969986364
xgb,90,0.6064329612119476,0.2573932092004381,0.12973380088806152,0.12038713693618774,0.04614139720797539
logit,91,0.568262049863531,0.20481927710843373,0.12484220516191076,0.3088425901930215,1.2847325933430365
xgb,91,0.5968942129553099,0.22070098576122674,0.10596401989459991,0.08147072792053223,0.03690456598997116
logit,92,0.593088509543034,0.29353778751369114,0.1922353853838759,0.39451863137276644,1.6500488180532698
xgb,92,0.6050541896410908,0.22727272727272727,0.12568195164203644,0.10693418979644775,0.04238427057862282
